DATASET                                                                                ACTIVE           ROWS  DESCRIPTION
bridges-elevated-roadways-and-culverts-in-toronto                                      yes             1,826  **This data set is retired. A new data set replaces at: [Bridge Structure](https://open.toronto.ca/dataset/bridge-structure)** The dataset contains bridges, ...
budget-capital-budget-plan-by-ward-10-year-recommended                                 yes               n/a  **Ward -** Ward number and ward name **Project Name -** Name of construction project **Sub Project Name -** Name of construction sub project **Year 1 -** Cur...
budget-capital-budget-plan-by-ward-10-yr-approved                                      yes               n/a  ### Attributes for Capital Budget & Plan **Program/Agency Name** - Name of program, division or agency **Project Name** - Name of construction project **Sub-...
budget-operating-budget-program-summary-by-expenditure-category                        yes               n/a  This dataset identifies the approved and recommended annual operating budget summary by expenditure category in each program or division starting from 2011. ...
building-construction-demolition-violations                                            yes            48,024  This data set includes all Open and Closed building construction/demolition violation folders.
building-permits-active-permits                                                        yes           228,691  Provides information on currently active Building Applications and Permits. A building permit is a municipally issued permit, required by the Building Code A...
building-permits-cleared-permits                                                       yes           401,005  Provides information on Building Permits completed/closed. A building permit is a municipally issued permit, required by the Building Code Act and enforced b...
building-permits-green-roofs                                                           yes             1,257  The Green Roof By-law was adopted by Toronto City Council May 2009 under the authority of section 108 of the City of Toronto Act. Toronto is the first city i...
building-permits-pool-enclosures                                                       yes             3,008  See Toronto Building - Pool Permits readme.xls Dataset may not be complete because of limitations of selection criteria.
building-permits-signs                                                                 yes            16,198  Dataset contains information on all Sign Permit applications received on or after September 7th, 2010, including geographical locations of signs and attribut...
building-permits-solar-hot-water-heaters                                               yes               181  See Solar Water Heater Permits readme.xls Ability to specifically identify this type of application was introduced on May 1, 2009. Earlier applications might...
business-improvement-areas                                                             yes                86  A Business Improvement Area (BIA) is an association of commercial property owners and tenants within a defined area who work in partnership with the City to ...
business-incubation                                                                    yes                52  The dataset comprises a list of organizations within the ecosystem that provide entrepreneurial support from business advice and mentoring to office space or...
by-election-results-unofficial                                                         yes               n/a  This dataset consists of 2 unofficial election results files in the JSON format: 1. unofficialresult.json - provides total votes for mayor city-wide 2. unoff...
cafeto-curb-lane-parklet-cafe-locations                                                yes             1,525  CaféTO is a program that provides licensed eating or drinking establishments in Toronto with the opportunity to expand their outdoor dining space through sid...
call-documents-for-the-purchase-of-goods-and-services                                  yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/tobids-all-open-solicitations/).** The Solicitatio...
capital-project-pipeline                                                               yes                46  *This page provides advance visibility into capital projects planned to be issued for competitive procurement, helping industry plan capacity and resources.*...
casino-survey-results                                                                  yes               n/a  Please see Readme file In November 2012, City Council's Executive Committee requested the City Manager to seek the public's input on the establishment of a c...
catalogue-quality-scores                                                               yes           201,841  The Data Quality Score reflects, in the form of a Gold, Silver or Bronze badge, how valuable a dataset is based on a set of characteristics that increase its...
central-intake-calls                                                                   yes             4,014  If you are in need of emergency shelter space, please call the City of Toronto’s Central Intake line at 416-338-4766 or 1-877-338-3398. This catalogue entry ...
centralized-waiting-list-activity-for-social-housing                                   yes                28  This dataset contains the activity of the Centralized Waiting List (CWL) since 2019. The CWL is made up of applicants for Social, or Rent-Geared-To-Income (R...
chemical-tracking-chemtrac                                                             yes            19,007  Municipal Code Chapter 423, Environmental Reporting and Disclosure By-law, requires that certain facilities that exceed the specified thresholds, report info...
child-care-licensed-child-care-spaces                                                  yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/child-care-licensed-child-care-spaces/).** The dat...
child-care-wait-list-for-a-fee-subsidy                                                 yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** The datase...
chinatown-tomorrow-planning-initiative-consultation                                    yes               n/a  As part of the Chinatown Planning Study (www.toronto.ca/chinatownstudy), extensive community consultation has been conducted over the past 1.5 years. To ensu...
city-council-and-committees-meeting-schedule-reports                                   yes             6,891  This open data set provides access to meeting schedule data extracted from TMMIS. You can also access previous term meeting schedule data. City Council appro...
city-initiated-appeals-to-property-assessment                                          yes               n/a  This dataset identifies properties where, as a result of City staff review and analysis, Revenue Services Division has initiated assessment appeals at the As...
city-of-toronto-act-cota-consultation-2015                                             yes               n/a  In June 2015, the Province of Ontario launched a review of the City of Toronto Act, 2006 (COTA), as required by legislation. As part of the review, the Provi...
city-of-toronto-free-public-wifi                                                       yes               253  Location and description data of all City of Toronto free public WiFi locations
city-operated-electric-vehicle-charging-station-map                                    yes                82  The map shows an expanding network of publicly accessible electric vehicle (EV) charging stations operated by the City of Toronto. The City provides public E...
city-subject-thesaurus                                                                 yes               n/a  This subject-based controlled vocabulary contains approximately 2500 terms in total. The thesaurus is currently used by the City's 311 Knowledge Base and by ...
city-vehicle-availability                                                              yes             4,614  The Fleet Services Division (FSD) procures and maintains over 5,000 City vehicles and equipment used to deliver critical services. Fleet availability is a ke...
city-wards                                                                             yes                25  The City of Toronto is divided into municipal wards. This dataset includes: * The boundaries for the City of Toronto's 25 wards were established using the Pr...
civic-issue-questionnaire                                                              yes                70  The Open Data team launched a campaign in order to help identify as well as prioritize the release of high-quality, in-demand datasets related to the City’s ...
clerk-s-directory-of-record-for-record-series-management-tool-rsmt                     yes               n/a  ** This dataset is retired ** See "RSMT Directory of Records Readme" file The City holds or has control of a wide number of general records and personal info...
clerks-record-classification-system-authoritative-source-rsmt                          yes               n/a  ** This dataset has been retired ** See "RCS Authoritative Source Readme" file. The Records Series Management Tool (RSMT) manages the Records Classification ...
clerks-record-classification-system-internally-approved-rsmt                           yes               n/a  ** This dataset has been retired ** See "RCS Authoritative Source Readme" file. The Records Series Management Tool (RSMT) manages the Records Classification ...
climate-perception-study                                                               yes               n/a  The City of Toronto commissioned Environics Research (2018) and Ipsos (2021) to conduct an online survey among a representative sample of Toronto residents t...
clothing-drop-box-locations                                                            yes               837  This dataset provides information on the location and operators of permitted clothing drop boxes. The Clothing Drop Box by-law ensures that the public is awa...
committee-of-adjustment-applications                                                   yes            93,640  This dataset includes information about applications submitted to the Committee of Adjustment for minor variances to zoning by-laws, and consents. Toronto Ci...
community-council-boundaries                                                           yes                 4  This is a geo-spatial file that outlines the service districts of the City of Toronto. This is a GIS polygon file that is best used when it is overlaid with ...
community-council-boundaries-survey-results                                            yes               n/a  This data set contains input from the Community Council boundaries consultation held between May 3 and May 27, 2018 by the City of Toronto. The purpose of po...
community-grants-allocations                                                           yes             4,934  This dataset contains information about grants approved by City Council through the Community Partnership and Investment Program. These grants are administer...
community-planning-boundaries                                                          yes               n/a  This dataset contains an ESRI shapefile of all the community planning boundaries of each planning section in the City of Toronto. Manager's name and telephon...
community-referrals-by-ems-crems                                                       yes               n/a  From 2008 to 2020 inclusive, this dataset provides the number of referrals made by frontline Paramedics who identify patients whom they feel should be assess...
competitive-call-award-results                                                         yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/tobids-awarded-contracts/)** The Competitive Contr...
consulting-services-expenditures                                                       yes               n/a  This dataset contains five years of consulting services expenditure history for divisions and major agencies, boards and commissions of the City of Toronto. ...
core-service-review-qualitative-data                                                   yes               n/a  To address Toronto's 2012 budget gap of $774 million, City Council launched a review of all of its services and implemented a multi-year financial planning p...
core-service-review-quantitative-data                                                  yes               n/a  To address Toronto's 2012 budget gap of $774 million, City Council has launched a review of all of its services and implemented a multi-year financial planni...
cost-of-living-in-toronto-for-low-income-households                                    yes               n/a  The City of Toronto monitors food affordability every year using the Ontario Nutritious Food Basket (ONFB) costing tool. Food prices, among other essential n...
council-and-standing-committee-meeting-statistics                                      yes               811  These datasets contains meeting data for Council, Community Council and Standing Committee meetings for the full 2010-2014 term of Council and the 2014-2018 ...
council-business-travel-expenses                                                       yes               271  Councillors who fulfill an official capacity with a municipal organization of which the City is a member are reimbursed from the Council Business Travel Budg...
councillors-constituency-services-office-expense-reporting                             yes                48  Each Councillor has a constituency services and office budget to pay for expenses that are allowable under the Constituency Services and Office Budget Policy...
count-yourself-in-workforce-survey                                                     yes               n/a  The CYI Survey invites employees to voluntarily disclose how they self-identify based on questions related to Indigenous identity, Black identity, gender, ra...
court-services-customer-satisfaction-survey                                            yes               n/a  See Codebook. Court Services Division conducted a Customer Satisfaction Survey in 2013 using Fluid Survey. The survey ran for a 6 week period commencing on M...
court-services-customer-satisfaction-survey-results-2017                               yes               n/a  Court Services Division conducted a **Customer Satisfaction Survey** in 2017. The survey ran for a 5 week period commencing on Friday, March 10, 2017 and end...
covid-19-cases-in-toronto                                                              yes           414,830  Toronto Public Health (TPH) shared anonymized, person-level information for all COVID-19 cases reported from the start of the COVID-19 pandemic in January 20...
covid-19-immunization-clinics                                                          yes               436  The City of Toronto’s Immunization Task Force is readying nine City-operated COVID-19 immunization clinics to open when vaccine supply is secured by the Gove...
covid-19-testing-sites                                                                 yes                21  COVID-19 testing is coordinated by the provincial government and local healthcare system, including hospitals, community health centres, pharmacies and other...
credit-balance-property-tax                                                            yes               n/a  Parcel ID - Assessment Roll Number Property Address - Property Address Credit Range - The credit range identifies an approximation of money the City owes a p...
cultural-festivals-funding-program-recipients                                          yes                49  This data is contained in the larger [Community Grants Allocations](https://open.toronto.ca/dataset/community-grants-allocations/) dataset so it has been ret...
cultural-hotspot-points-of-interest                                                    yes               895  Cultural Hotspot spans a vast geographic area and many local neighbourhoods with unique features. This dataset contains information about points of interest ...
cultural-spaces                                                                        yes               n/a  **This dataset has been expired on January 16th, 2023. EDC is currently investigating a potential improvement or revision of this dataset. At present, the di...
current-and-future-climate                                                             yes                27  This dataset was developed by Toronto and Region Conservation Authority for the City of Toronto. This data shows climate projections for 53 climate variables...
current-value-assessment-cva-tax-impact-residential-properties                         yes               n/a  This outlines the current tax year phased-in average Current Value Assessment (CVA) tax impact on residential properties. This is a geographical shape file o...
cycling-network                                                                        yes             1,538  The Toronto bikeways dataset illustrates the existing cycling network across the city, including both shared and dedicated bikeways. A summary of the network...
daily-bread-food-banks-client-visits-by-month                                          yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** Number of ...
daily-shelter-occupancy                                                                yes           156,977  The data set provides a listing of all the active shelters serving the City of Toronto area. Included in the dataset is the name of the shelter, program name...
daily-shelter-overnight-service-occupancy-capacity                                     yes           270,335  This data set provides a daily list of active overnight shelter and allied services in the Toronto Shelter and Support Services division's Shelter Management...
death-registry-statistics                                                              yes             1,026  This dataset includes information relating to the registration of deaths documented by Registry Services staff located in four of the civic centres (Scarboro...
deaths-of-people-experiencing-homelessness                                             yes               337  Toronto Public Health (TPH) leads the data collection, analysis and reporting of deaths of people experiencing homelessness in Toronto. Toronto Shelter and S...
deaths-of-people-experiencing-homelessness-archival                                    yes               426  This dataset is retired and remains solely for archival purposes. The updated data can be found [here](https://open.toronto.ca/dataset/deaths-of-people-exper...
deaths-of-shelter-residents                                                            yes               251  This dataset provides data about Deaths of Shelter Residents. More information on the initiative is available on the City’s website: [Deaths of Shelter Resid...
demolition-and-replacement-of-rental-housing-units                                     yes               165  This dataset contains information pertaining to projects that have been approved since January 1, 2017 for the demolition and replacement of six or more rent...
development-applications                                                               yes            26,254  This dataset lists all currently active (open) and inactive (closed) Community Planning applications and Committee of Adjustment applications received by the...
development-charge-revenues                                                            yes               n/a  City of Toronto development charges revenues, net of refunds, unaudited and subject to adjustments including year-end adjustments. The Provincial Development...
development-pipeline                                                                   yes             2,411  The Development Pipeline examines how and where the city has grown over the past five years and provides insight on how it will continue to develop in the ne...
dinesafe                                                                               yes           105,443  DineSafe is Toronto Public Health’s food safety program that inspects all establishments serving and preparing food. Each inspection results in a pass, a con...
dogs-issued-dangerous-dog-orders                                                       yes               329  Dangerous Dog Orders issued to dogs by the City of Toronto that are currently active will be listed here. A Dangerous Dog Order is issued when it is confirme...
doors-open-toronto-2016                                                                yes               139  This dataset lists all properties participating in Doors Open Toronto on Saturday, May 28 and Sunday, May 29, 2016. The dataset comprises more than 130 archi...
doors-open-toronto-2017                                                                yes               134  This dataset lists all properties participating in Doors Open Toronto on Saturday, May 27 and Sunday, May 28, 2017. The dataset includes 150 architecturally,...
doors-open-toronto-2018                                                                yes               134  This dataset lists all properties participating in Doors Open Toronto on Saturday, May 26 and Sunday, May 27, 2018. The dataset includes 130 architecturally,...
doors-open-toronto-2019                                                                yes               n/a  The 20th annual Doors Open Toronto presented by Great Gulf provides an opportunity to see inside more than 150 of the most architecturally, historically, cul...
downsview-secondary-plan                                                               yes                39  The Update Downsview Study established a comprehensive planning framework for the Downsview area to help guide the development of resilient, sustainable and ...
drop-in-locations-toronto-drop-in-network-members-tdin                                 yes               n/a  See the Readme file: Drop-In Locations (TDIN Members) Readme.xls This data set contains the locations of drop-in centres within Toronto that are members of t...
e-bike-survey-response-results                                                         yes               n/a  Between April 10 and May 8, 2013 the City of Toronto posted an online survey, which sought to gather demographic, travel and public opinion data to better un...
earlyon-child-and-family-centres                                                       yes               230  EarlyON Child and family centres offer free programs to parents/caregivers and their children from birth to six years of age. These centres welcome all famil...
elected-officials-contact-information                                                  yes                75  This dataset contains contact information of the Mayor and the 25 Councillors elected to City of Toronto Council. The information includes the elected offici...
election-results-official                                                              yes               n/a  Election poll by poll results data from the 2003, 2006, 2010, 2014, 2018 and 2022 elections. Races included are * Mayor * Councillor * Toronto District Schoo...
election-results-unofficial                                                            yes               n/a  ###**2022 Unofficial Election Results** This dataset consists of 2 unofficial election results files in the JSON format: + unofficialresult.json - Results fo...
elections-advance-poll-voter-turnout                                                   yes               n/a  This dataset contains the number of voters that came out to vote during the advance poll.
elections-by-election-voter-statistics                                                 yes               n/a  This dataset contains the number of eligible electors on the Voters' List, the number of additions and corrections to the List and the number of electors who...
elections-campaign-contributions                                                       yes               n/a  This data set contains the names and postal codes of individuals, organizations and companies who made a financial contribution or equivalent in goods/servic...
elections-official-by-election-results                                                 yes               n/a  The by-election results are used to identify the candidates running, the number of votes each candidate received, which candidate received the most votes, an...
elections-school-ward                                                                  yes               n/a  The four school boards within the City of Toronto are divided into districts. This dataset includes: - The boundaries for each of the school boards that will...
elections-subdivisions                                                                 yes             6,403  Polygon shapefiles that depicts the Election Polling Subdivisions for the 2023 Mayoral By-election, 2022, 2018, 2014, 2010 and 2006 General Municipal Electio...
elections-voter-statistics                                                             yes               n/a  This dataset contains the number of eligible electors on the Voters' List, the number of additions and corrections to the List and the number of electors who...
elections-voting-locations                                                             yes             7,845  This is a point data set that identifies the address of voting locations for the 2023 Mayoral By-election, 2022, 2018, 2014, 2010 and 2006 General Municipal ...
environmentally-significant-areas                                                      yes                92  Areas of land or water within the natural heritage system with characteristics as defined in section 3.4 of the Official Plan and which are particularly sens...
events-at-nathan-phillips-square                                                       yes               n/a  Nathan Phillips Square is a vibrant, active space in the heart of Toronto. Every year, over 1.8 million visitors attend a variety of community and special ev...
fatal-and-non-fatal-suspected-opioid-overdoses-in-the-shelter-system                   yes             2,002  This data set shows the number of fatal and non-fatal suspected opioid overdose incidents in emergency shelters, shelter-hotels, and 24-hour respite sites in...
festivals-events                                                                       yes               n/a  **Description and Purpose of the Dataset** This dataset lists all festivals, special events and exhibits (etc.) approved to appear on the City of Toronto Fes...
field-information-reports                                                              yes         2,021,907  As part of our ongoing commitment to open data, the Toronto Police Service continues to release data sets relating to completed Municipal Freedom of Informat...
fire-hydrants                                                                          yes            42,923  This dataset contains the location of all City owned fire hydrants in Toronto.
fire-incidents                                                                         yes            36,564  This dataset includes only fire incidents as defined by the Ontario Fire Marshal (OFM) up to December 31, 2023. **Refresh date displayed is not representativ...
fire-services-emergency-incident-basic-detail                                          yes         1,754,954  This dataset includes response time intervals (dispatch, enroute, arrive and clear) and responding units. As per MFIPPA section 31, 32 for the use and disclo...
fire-services-incident-data                                                            yes               n/a  This data has been retired. Two new data sets now replace it: [Fire Incident](https://open.toronto.ca/dataset/fire-incidents/) Data and [Basic Incident Detai...
fire-station-locations                                                                 yes                85  This dataset contains the location of all active fire stations and fire related facilities within the City of Toronto. The locations are identified by XY (la...
flood-reporting-noted-by-toronto-water-districts                                       yes               n/a  **This dataset is no longer being maintained. Please see [Basement Flooding by Ward](https://open.toronto.ca/dataset/basement-flooding-by-ward/) for the late...
forest-and-land-cover                                                                  yes               n/a  <strong>2008 Study: </strong> High resolution land cover dataset for Toronto with eight land cover classes: (1) tree canopy, (2) grass/shrub, (3) bare earth,...
former-municipality-boundaries                                                         yes                 6  Field Name - Description/Definition AREA_ID - Internal geographic identifier AREA_NAME - Name of the former municipality OBJECTID - Internal unique object ID...
free-floating-carshare-program                                                         yes               n/a  The City of Toronto’s Free-Floating Car-Share program was approved by Council, as a permanent program, in July 2020. The program has undergone various change...
freedom-of-information-requests-summary                                                yes               n/a  Freedom of Information (FOI Requests) are made under the Municipal Freedom of Information and Protection of Privacy Act (MFIPPA) or the Personal Health Infor...
green-p-parking                                                                        yes               n/a  See "Green P Parking Readme" file. The Toronto Parking Authority is a local Board of the City of Toronto which owns and operates the system of Municipal off-...
green-spaces                                                                           yes             3,372  Green Spaces is a geospatial dataset of polygons that is a point-in-time generalized representation of existing parks and open spaces within the City of Toro...
green-streets                                                                          yes                25  Green Streets are roads that include [green infrastructure](https://www.toronto.ca/?page_id=696180&accordion=descriptions-of-green-infrastructure-types) – na...
hate-activity-policy-survey                                                            yes               n/a  The City of Toronto's Hate Activity Policy helps to identify hate activity and appropriate ways to respond. The goal of the policy is to establish and mainta...
hate-crimes-open-data                                                                  yes             1,805  This dataset includes all verified Hate Crime occurrences investigated by the Hate Crime Unit by reported date since 2018. The Hate Crime categories (bias ca...
head-of-household                                                                      yes               n/a  **This dataset is retired.** This dataset contains the Head of Household trending data from year 2004. It provides information on households by neighbourhood...
heat-alerts-and-extreme-heat-alerts                                                    yes               n/a  #### This dataset is no longer being maintained. To avoid duplication with the Heat Warnings issued by Environment and Climate Change Canada, the City of Tor...
heritage-conservation-districts                                                        yes               n/a  See Readme file in shapefile. The HCDs in the City of Toronto are protected by a municipal by-law passed under Part V of the Ontario Heritage Act (OHA), by C...
heritage-formerly-listed                                                               yes               n/a  Through Bill 23, the More Homes Built Faster Act, 2022, the Province of Ontario made extensive amendments to the Ontario Heritage Act, 1990. These included t...
heritage-register                                                                      yes               n/a  See Readme file in Shapefile. The heritage register is a list required under the Ontario Heritage Act that identifies properties of cultural heritage or inte...
heritage-shoreline-evolution                                                           yes               n/a  A spatial geographical file that shows Toronto's historical shoreline development from 1818 to 1910. This data was collected as part of the City's historical...
historic-rain-gauge-locations-and-precipitation                                        yes               n/a  **This dataset is no longer being maintained. Please see [Rain Gauge Locations and Precipitation](https://open.toronto.ca/dataset/rain-gauge-locations-and-pr...
hostel-services-homeless-shelter-locations                                             yes               n/a  See the Readme file: Emergency Shelters Locations Readme.xls The data set is a point file that contains the location of the shelters within the City of Toron...
hotel-association-member-list-for-the-greater-toronto-area                             yes               n/a  The Excel file contains a list of all hotels in the GTA that are members of the Greater Toronto Hotel Association. It does not include a small percentage of ...
housing-to-action-plan                                                                 yes               n/a  The HousingTO 2020-2030 Action Plan (HousingTO Plan) provides a blueprint for action across the full housing continuum. These actions are aimed at improving ...
hr-number-of-job-applications-received-per-external-advertisement                      yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** See "Exter...
hr-total-general-job-applications-submitted-online                                     yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** See "Total...
human-rights-office-service-statistics                                                 yes               n/a  The statistics contained in this dataset were included in the Annual Human Rights Office Report for the Executive Committee and City Council. The full report...
humber-bay-parks-survey-results-data                                                   yes               n/a  The 2016 Humber Bay Parks Project Survey is a City of Toronto 'park user' survey that was conducted to obtain resident input into the development of the Humb...
imagination-manufacturing-innovation-and-technology-imit-program-recipients            yes                74  Toronto’s Imagination, Manufacturing, Innovation and Technology (IMIT) business incentive supports new building construction and/or building expansion in tar...
immunization-coverage-for-students                                                     yes             1,887  Ontario’s Immunization of School Pupils Act (ISPA) requires that students who attend elementary and secondary school be vaccinated against nine designated di...
indoor-ice-rinks                                                                       yes                63  This dataset includes information on arenas, community centres, and recreation centres with indoor ice pads owned by the City of Toronto. The dataset provide...
input-from-roundtables-public-and-stakeholders-on-recovery-and-rebuild                 yes               n/a  From April to August, 2020, the Mayor and Members of City Council, divisions and the Toronto Office of Recovery and Rebuild hosted online discussions to seek...
